DOC_ID	LABEL	RATING	VERIFIED_PURCHASE	PRODUCT_CATEGORY	PRODUCT_ID	PRODUCT_TITLE	REVIEW_TITLE	REVIEW_TEXT
7333	__label1__	5	Y	Automotive	B00SIA7HJ6	Bolt Power X5 Mini 8000mAh Portable Car Jump Starter 400 AMP Peak - Emergency Outdoor Portable Power Pack	Little but powerful.	It amazing i can't imagine this portable battery charger and is bundled with a charging adapter which is compatible with major electronic devices. It combines three different functions in a single unit- a car jump starter, LED flashlight and a battery charger (i can charge my smartphone). Weighing at just 1 pound, it can easily fit into one's pocket or a travel bag. you can keep into your glove compartment for weeks and still contain the charge perfectly, i really recommend it.
6696	__label1__	5	N	Home	B00J7Y4D2G	Design Toscano The Great White Shark Wall Mount Trophy Sculpture	garage trophy	I bought this for my son whose hobby is fishing.  He has taken multiple boating trips throughout his lifetime and I thought this would be perfect for his garage. We were both surprised at the size it was. It really is a real trophy!!
996	__label1__	3	N	Toys	B00KS11ETM	VTech Kidizoom Smartwatch, Blue (Discontinued by manufacturer)	Kid loves it, I don't	What really matters I guess is that my son loves it, but I feel like stomping on it when he leaves it hanging around and it goes off by itself. Oh well.
3445	__label1__	1	N	Grocery	B00BG0ZJ0Y	MatchaDNA Organic Powdered Matcha Green Tea, 10 Ounce	An organic SCAM! matchaDNA is NOT CERTIFIED ORGANIC!	It says in the advert &#34;100% USDA organic&#34; but there is NO USDA ORGANIC LOGO on the PACK! The USDA labeling regulations for organic food products state clearly that the USDA organic symbol must be displayed on the pack if a product claims to be USDA certified organic. ‘Accelerated Intelligence Distribution' (the distributors of matchaDNA) also claim in the advert that the matcha is “USDA, SWISS, EU and NOP certified organic”. Again, there are no symbols or evidence on the pack to support their claim (there should be evidence on the pack)! The distributors are MISLEADING customers into thinking that the product is certified organic by two organic certification bodies. Why would you not print the symbols of the organic certification bodies when the regulations say you must? No one is above the law. I think that this is a scam. This is totally unacceptable and unlawful! This gift has to go in the bin!
8185	__label1__	5	N	Video DVD	B001AQT0Z4	Pulp Fiction [Blu-ray]	annother Favorite	This movie which is a bit too violent in some scenes is a fantastic film whit some really absurd situations and dialogues.<br /><br />Love it or hate it. I do love this one and added it to my all time favorites
15841	__label2__	5	Y	Grocery	B006WH1QQ2	Heartbar Oatmeal Square, White Chocolate Macadamia Nut, 1.76 Ounce (Pack of 12)	Super nummy	I have tried the choc chip, the PB, the cranberry, the brownie...this is the best! It doesn't taste "good for you". I will have to hide these from my son!
20099	__label2__	5	Y	Outdoors	B00DUPV60K	Ultimate Survival Technologies 30-Day Lantern, Black/Glo	very good lantern I love it have had the same batteries ...	very good lantern I love it have had the same batteries in it for 3 months and it is still going strong
3979	__label1__	2	N	Video DVD	B001DSNF8C	Casino Royale (Two-Disc Collector's Edition + BD Live) [Blu-ray]	Simply lame	I'm a big James Bond fan. Saw almost all James Bond movies but this one didn't satisfy me at all.<br />The story was simply lame, left the cinema really disappointed.
6828	__label1__	5	N	Automotive	B004OU3DH4	OPT7 Blitz Z-Arc HID Replacement DC Bulbs - 9006 (10000K, Blue) Xenon Light	Delivers as described	Don't know where this product is made, but it surely delivers as described. Had no issues with it and I can see better during night
9582	__label1__	5	N	Shoes	B002HWS4T8	CliC Magnetic Classic Reading Glasses, Smoke, +1.75	Too neat	LOve these! They are so convenient and comfortable. Also great quality. I received them from a co-worker after commenting on his. I'm glad to have them.
12565	__label2__	2	N	Kitchen	B005LH3QEY	Cryopak Flexible Ice Pack for Lunch Boxes (2 pack)	They leaked	Agree with others. These leaked and are good for injuries but not lunches. I like the Stayfit containers that have gel in the covers or inside the walls of the container.
18671	__label2__	3	Y	Wireless	B007P7JF52	HTC EVO 3D No Contract Sprint Cell Phone	A little pissed	I thought I was getting a NEW phone. This phone is not new. Didn't come with an SD card, the book that was in the box is not the book for this phone. However seeing as how this is a replacement phone the book is not needed I have two already but that's besides the point. The battery is crap and It doesn't do the same things my other ones did. I am so sad I was really looking forward to having a new phone that worked the same as mine did. LOVE the HTC Evo 3D phone and don't want to get any other kind but this phone was listed as NEW, and its not. Very disappointing. So
3452	__label1__	4	N	Luggage	B002B4K5Z8	Rockland Luggage 19 Inch Tote Bag, Black, One Size	It does not roll	I thought this was a great buy for the price. I love the size of this rolling duffle and it has great pocket space, however it does not roll. The wheels just slide across the floor no matter what the surface. I was a gift to my daughter and she is really disappointed that we will have to be replacing it.
3645	__label1__	3	N	Video Games	B008GEH9HO	Nintendo 3DS XL - Blue/Black	terrible graphics	I recently purchased a DSI XL, because I wanted the larger screen. I soon returned it because of the pixels. It had terrible graphics and just wasn't worth the price. Before I bought my 3DS Xl today, I was hesitant of getting another large nintendo due to the DSI XL.
16553	__label2__	4	Y	Camera	B0044DEEJM	GE DV1-LG Waterproof/Shockproof 1080P Pocket Video Camera (Lime Green) (Discontinued by Manufacturer)	Hey, its not bad !!	[[VIDEOID:moL9YKOVKD1JWC]]I just got this video camera and I am very happy with it. the videos up load easily to my pc and they look great. one small problem with this camera is that you can't take any video up close to show writing on a package or real close up shots. but besides that it takes some great video. so if this will be your first time buying one of these camera you won't go wrong. and I brought this lime green one because it was cheaper then the new ones that came out of this model, and I didn't want to wait weeks to get it.<br />I took some video at night about 1:00am with just a overhead street light I have in my yard, just wanted you too see how the GE DV1 works with low light. this model is now $66 dollars !!
17696	__label2__	4	Y	Shoes	B000WHRYZA	Clarks Women's Lucena Sandal,Pewter Metallic,5.5 M	Clarks Lucena Sandal	I like the looks of the shoe, but Clark's shoes don't seem to be made as well as they use to be.  The straps when fastened do not cover all of the velcro.  They are too short and do not look really nice.  I wear a small shoe and other than the strap being too short, they fit ok.  I am not returning them because I got a good price and will be ok for wear shopping, around the house, etc.  If you can find these in a local store, try on first to see if strap bothers you.  They are less expensive online.
19449	__label2__	4	Y	Camera	B0043GT9Y0	Neewer 180W 5600K Photo Studio Flash Speedlite Strobe Light Monolight for Studio,Location and Portrait Photography	Works great	Nice bright lights for not much money! I have 3 of them. I use a Cowboy studio trigger to fire one and the other twos slave function and they work perfect. I also get f11 no problem shooting thru umbrellas at about half power.. Which leads to the only real con I can find.. These lights could use more power adjustments
5456	__label1__	5	N	Kitchen	B00JEQOS1S	Vinium Wine Aerator Red Wine Aerating Pourer	I really loved the sound while pouring the wine	This wine aerator is the real-deal. I really loved the sound while pouring the wine. I use it every time.
19500	__label2__	5	Y	Baby	B00285945W	Stephan Baby Boo Bunnie Comfort Toy and Boo Cube, Multi Dot	second time around	The review  mirrors the one I did for the single colored bunnies. These give you some more flexibility if you don't want the standard pink or blue.
3141	__label1__	2	N	Outdoors	B0000UHU58	Razor A2 Kick Scooter (Blue)	not a good option for a scooter for a 3 year old	i did some research on scooters for my 3 year old. she had been borrowing the other kids mini-kick scooters in the neighborhood. i discovered the mini-kick was $83!!! surely i could get a cheaper option, right?
12167	__label2__	5	N	Books	B0006BTYPA	The Snouters: Form and Life of the Rhinogrades	A marvelous spoof	This is a marvelous spoof book, written in very formal prose, about totally imaginary creatures. (I found a very nice copy at a garage sale selling for a dollar, 50 cents after a bit of bargaining).<br /><br />This was reprinted by The University of Chicago Press with the following legend: &#34;The Snouters was originally published in Germany, under the title Bau und Leben der Rhinogradentia, by Gustav Fischer Verlag Stuttgart in 1957. Copyright � 1964 by Gustav Fischer Verlag Stuttgart. Portions of the book appeared in Natural History magazine in April 1967 and is reprinted here with permission. The 15 plates and 12 text figures in this volume were drawn by Gerolf Steiner. The University of Chicago Press, Chicago 60637 The University of Chicago Press, Ltd., London.<br /><br />Maggie Koerth-Baker recently wrote a blog post about the book; the picture she refers to can be found by googling Maggie Koerth-Baker imaginary animals.<br /><br />&#34;In this dusty display box at the University of Maine sits the carefully preserved skeleton of a small, shrew-like rodent which, lacking hind legs, propelled itself along with the help of a long, jointed nose-foot. If that seems a bit too whimsical to be true, well, it is. The creature belongs to the mammalian order Rhinogradentia – an entirely made-up class of animals. Like this specimen, which belongs to UMaine professor Irving Kornfield, the rhinogrades are all rodents and they all have some sort of fantastic nasal appendage ... and, most importantly, none of them actually exist.<br /><br />&#34;Now, there are plenty of imaginary animals in the world and, some of them – like the jackalope, for instance – exist in taxidermy and skeletal form despite not existing as living beings. But most of those are folk-crafts, their origins steeped in tall tales or intentionally profitable efforts to mislead, and their inventors lost to time. Rhinogradentia, on the other hand, is relatively new. It was created in 1961 by a real German zoologist named Gerolf Steiner who wanted to illustrate the way evolution can create diversity in isolated populations. In order to do that, Steiner created a fake German zoologist called Harald Stümpke, a fake island chain called Hy-yi-yi, and a fake order of mammals with funny noses. And then he wrote a book about it.<br /><br />&#34; Published under Stümpke's name, The Snouters: Form and Life of the Rhinogrades, is meant to read like a totally serious zoology handbook of the time period. It's a parody that absolutely refuses to wink at you, and it's become a bit of an in-joke among biologists. This particular specimen was actually built by Kornfield, himself, using real animal bones and illustrations from Stümpke/Steiner's book.&#34;<br /><br />I enjoyed reading the book, and enjoyed reading both Maggie Koerth-Baker's description and the marvelous Reviews here on Amazon even more. My only problem is how to dispose of the book, now that I am down sizing my life.<br /><br />Robert C. Ross<br />March 2015
6929	__label1__	5	N	Lawn and Garden	B00CYA1PGC	Frostfire Bright LED Wireless Solar Powered Motion Sensor Light	good for my new shed	Just the job, ordered this for my new shed, on all night and brightens when anyone gets near does exactly what it says. very pleased.
14364	__label2__	3	Y	PC	B00BJ8C02I	HP 2000-2b19wm 15.6-Inch Laptop PC (Winter Blue)	so far so good	This product is heavy, but what can you expect for the money.  I am disabled and can hardly pick it up.  I gave to my husband who don't known much about computers and he is learning to use it.
13181	__label2__	5	Y	Musical Instruments	B00H3QSBOG	CASIO CTK 7200 61 Key Portable Keyboard w/Power Supply, Sustain Pedal, and Stand	Great keyboard!	Upgraded from CTK2400, where the piano tones were ok, but the other instruments and accompaniments not so much.  This model fixes all that and does so much more!
16856	__label2__	3	Y	Beauty	B000MFI0NC	Bodyography Foundation, #125, 1 Ounce	It's a great foundation though	Make sure you know what color matches your skin tone because it's hit or miss when you guess. It's a great foundation though. Probably my favorite.
11829	__label2__	4	N	Musical Instruments	B000Z7C9T8	Yamaha MG102C 10 Input Stereo Mixer	Fits my needs and budget	I needed a mixer for my home studio and this one has all that I need to start out. The fact that it has two channels of compression is nice and the four mic preamps will cover all my needs for now. My only complaint is that I wish the output to amp was xlr or balanced 1/4" instead of instrument cable 1/4". Other than that I feel like I chose the best mixer between Behrenger, Mackie, Souncraft and Yamaha for 99 USD!
18827	__label2__	4	Y	Home	B008MLWM4Q	uxcell Embroidered Flower Pattern Cloth Folding Hand Fan Colored Black	works wonderfully	This fan works great at work when I have hot flashes, it really moves the air. My only complaint is it does not come with the little plastic band to hold it closed when not in use, have to use a rubber band
1507	__label1__	4	N	Office Products	B0002T4032	LAMY Safari Fountain Pen Charcoal Ex-Fine (L17EF)	exceptional for the price	This pen is exceptional for the price. Smooth writing, nib glides over paper, ink flow is perfect. This is my new favorite pen. The only complaint - The box it comes in is some cheap plastic thing.
11684	__label2__	5	Y	Jewelry	B0091VZ4XC	Black Floral 40 Zipper Pockets Dual Sides Space-saving Hanging Earrings Necklace Bracelet Closet Jewelry Organizer Household Accessory Holder Storage Bag	A great orgainizer for jewelry!	My sister in law makes and sells jewelry, so I thought she would love this for a Christmas gift.  When it arrived she was thrilled because it would make transporting jewelry for her shows easy, roll it up and go!
7361	__label1__	5	Y	Office Products	B00IDHDYOG	YoYoInk Remanufactured Ink Cartridges Replacement for HP 932 XL & 933 XL, 5 Pack (2 Black, 1 Cyan, 1 Magenta, 1 Yellow) - With Ink Level Display Indicator	Everything I Hoped For	This ink cartridge was everything I hoped for and then some. I was blown away by the fact that I actually received the product before I was even supposed to. Talk about speedy service! It was delivered with care and everything was just as it should be when I opened the box. I'm glad I bought this ink.
20085	__label2__	5	Y	Watches	B0000TIIVE	Timex Men's T44381 Expedition Metal Field Brown Leather Strap Watch	Quality watch especially for price	Great watch especially for the price Amazon sells it..  This specific watch I bought a week or so ago is actually my backup T44381 in case my original ever breaks or gets to a point it won't work anymore.  Figure for $30 or so, its not a big expense.. My original I've worn for over 8 years with no difficulties or problems other than normal battery and strap replacement.  Overall a good quality watch you can wear while doing normal everyday things and not have to worry about
14661	__label2__	5	Y	Furniture	B00F57G0UM	Kings Brand Furniture Tufted Design Upholstered Storage Bench Ottoman, White	Perfect Ottoman w Bling!	This is such a beautiful piece.  It is the most gorgeous piece in the salon.  It is sturdy for sitting and wipes off easy of a small mark gets on it.  The jewels set in it are about the size of a quarter and perfectly placed so it is some good bling but not overdone.  It is my favorite piece!
3170	__label1__	4	N	Shoes	B000PDJHT2	Baggallini Complete Cosmetic Bag	a lot of pockets in one bag! :)	I carry a lot of make-up because I always attend parties. This cosmetic bag has a lot of pockets and zippered compartments. I never found a bag like this before!
11027	__label2__	5	N	Grocery	B008J46DNC	Banana Bread - Medium FREE SHIPPING on orders $25 or more, mix and match with our other delicious flavors	I'm warning you	Do NOT put a loaf of banana bread in front of me or it WILL be gone!  I'm *that* much of a banana bread lover!  This White Post Farm banana bread is the stuff I've always admired the most, but I'm particularly fond of the homemade stuff too.  Seriously, an Amish store downtown was selling several loaves of banana bread in a giant bin.  I noticed them the moment I walked inside.  I nearly cried with excitement... and cried more when I came back a few weeks later and they were all gone. Banana bread is my best and only friend.  It just goes down my throat so well.
15359	__label2__	5	Y	Grocery	B00FN2ZGP4	Tassimo Gevalia Pumpkin Spice Latte T Discs, 14.9 Ounce	The Best	It was excellent.  I will tell others about this product.  It was just as good as going to a coffee shop
14732	__label2__	5	Y	Jewelry	B00Q6CNODG	HiRudolph 1 X The Legend of Zelda Skyward Sword Red Heart Pierced Necklace Anime Costume Red	Great for Zelda fans!	I get a lot of compliments on this necklace. Love it! I might replace the chain though, my skin is a little sensitive to the one it cane with. But its really not that big of a deal. I still love this necklace.
20475	__label2__	5	Y	Jewelry	B004OQ089E	Rainbow Peacock Multi Color Square Princess Cut CZ Basket Set Sterling Silver Stud Earrings 7mm	Beautiful earrings.	This was a birthday gift for me, Buck's wife, and I am very happy with it.  I like the way the colors inside the stones flash and sparkle.  The overall quality seems excellent.
203	__label1__	4	N	Health & Personal Care	B00GI299M4	Vaseline Lip Therapy Rosy Lips Pack of 2 0.25 Oz. / 7 Grams	What do they expect?	What do the negative reviewers honestly expect from this product? From the moment I opened it, I knew that it was exactly what I had in mind. The content could be more substantial though. That's my only quip.
13297	__label2__	5	N	Kitchen	B00004OCLA	OXO Good Grips Covered Ice Cube Tray	Love these ice cube trays!	To me these are a time-saver from filling them to freezer.<br />I bought mine through Ebay at a good price.<br />I recommend these because they are fast and dependable and i'm very happy with them.<br />Very ingenious idea for putting covers over the water and mine don't leak either.<br />I'm now using these over my ice cube making machine that's how much i enjoy these.
20577	__label2__	4	N	Books	0345547357	Power Score: Your Formula for Leadership Success	What Is Your Score?	So what is your Power Score?<br /><br />On a scale of 1 to 10 how well have you laid out the priorities of your organization and is everyone on board with them and for them.<br /><br />Multiply that number by<br /><br />One a scale of 1 to 10 on what percentage of people in your organization are “A players”?  0% to 100%.  These are people who are in the right job and contribute positively to the organizations culture.<br /><br />Then multiply that number by the condition of your organizations relationship.  Relationships between employees, between management and labor, between the organization and its customers and suppliers.<br /><br />The perfect number you can have is 1000, but that is probably impossible.  A number of 729 means you are running at full power.  500 to 700 means you are doing pretty well.  Below 500 you need to do some work.<br /><br />That is the premise of the Power Score.  The book is written in a question and answer format, the authors asking the questions they believe the reader would ask and then answering them.  It actually makes for an easy read and makes it easy to explain some of their more complex thoughts.  Overall there is nothing earth shattering in this book, it all comes down to basic common business sense, the authors just organize it in very thoughtful way, and they support all of their claims with references a large pool of research they are pulling from.  They offer ideas and strategies to improve your score in all three of the categories.<br /><br />So I don’t think this book offers any earth shattering ideas, it is full of a lot of good ones.  Worth a read if you are in a position to alter your organization for the better.
5274	__label1__	5	N	PC	B00DYQYITG	Kingston Digital DataTraveler SE9 16GB USB 2.0 (DTSE9H/16GBZET)	Design is perfect and it functions really well too	Design is perfect and it functions really well too. I don't have any problems when it comes to speed and because it is already shaped like this I can easily put it with my bunch of keys.
14587	__label2__	5	N	Watches	B0085F5RZ0	Michael Kors Women's Lexington Gold-Tone Watch MK5556	GREAT	Good Quality, high speed delivery. Very good description and reflects the picture shown also good size for any wrists face is not too oversized
4028	__label1__	2	N	Outdoors	B000QESCMS	Stansport Portable Stainless Steel Propane Barbeque Grill	sharp edges	I returned this grill. It had sharp edges which may injure the owner. Also the grates were not removable, so it would be very difficult to clean them. We were quite disappointed with the grill. It didn't put out enough heat to cook a steak. I guess you got what you paid for in this case..
452	__label1__	4	N	Toys	B003A1I8LY	Plush Baby 14" Pink My First Teddy Bear	Soft and cozy	Now my girl is loving this teddy more then me :P what more to say.. lol...<br />sweet gift this is no doubt.
20504	__label2__	1	Y	Video Games	B00001X50M	Metal Gear Solid	Metal Gear Solid	Im writing this review about amazon.com on this game I purchased because either Amazon.com or the Seller has issues. What is pictured is the BLACK labeled for sale and under sellers or Amazon.com have no idea about these things maybe. They also have the greatest hit. So this pretty much is lieing to US the consumer about the product we are trying or about to purchase. Everyone just watch out because if you want the BLACK label game and you may receive the GREATEST HITS version of the game.
15114	__label2__	5	N	Books	0618969020	Short Nights of the Shadow Catcher: The Epic Life and Immortal Photographs of Edward Curtis	Utterly amazing biography	Short Nights of the Shadow Catcher is one of the most interesting books I have read in a long time.  Rarely do you find a biography this well-written. When you finish this book you have to ask yourself: What kind of person works hard to get out of poverty and then becomes so obsessed with a cause that he gives up everything he has worked for, a loving wife and family, a lucrative business, his dignity, and any income at all to follow a cause that he feels only he can accomplish. Author Timothy Egan has given us a great gift in writing this biography.
14592	__label2__	4	Y	Luggage	B0074Y2QPC	London Fog Luggage Chelsea 21 Inch 360 Expandable Upright Suiter, Olive Plaid, One Size	light and easy to maneuver	light and very easy to maneuver. good size for fitting on carryon. downside is it has got dirty already because of the light color.
1087	__label1__	4	N	Baby	B005I19LOC	Graco True Focus Digital Video Monitor	Good Purchase	The child unit doesn't mount to the wall so unless you have a tall piece of furniture to sit it on you're kind of out of luck. There is a major delay between the child and parental unit. We can hear our daughter cry out from her room before the monitor picks
2302	__label1__	4	N	Watches	B00EIRVQ2M	Women's Geneva Chevron Style Leather Watch - Blue	Nice watch	The first time I saw this watch, I havent thought much but to own one...So immediately I bought it through amazon and I was pretty happy with the buy.
7134	__label1__	5	Y	Automotive	B00PJZZ8IU	DEDC Chevy Tow Mirrors 99-06 Chevy Tow Mirrors Manual Towing Mirrors Chevy Silverado Sierra Tow Mirrors Pair For Chevy Silverado GMC Sierra Truck	Not disappointed a shopping	Not disappointed a shopping ,want to buy it to start .The effect of post-installation results exceeded my expectations,very satisfied with the size of the installation and the fit is very good!
10168	__label1__	3	N	Watches	B0013L1ITC	Armitron Women's 75/2967BLU Diamond Accented Blue Dial Silver-Tone Bangle Watch	Issues with the quality of the links	I read another review of this watch indicating that there may be issues with the quality of the links. When I got the watch I took it over to our jeweler so that she could check that everything was okay. She found several screws in the band that were very loose. It was an easy fix, but still makes me nervous about the overall quality.
18003	__label2__	5	Y	Grocery	B00067WBGS	Merckens Milk Chocolate 2 Pounds	Easy to use and tastes great	This chocolate is great! I love pecan bark and my husband loves coconut clusters. Now I can make them at home and they don't have to be refrigerated.
9708	__label1__	5	N	Tools	B00N3M1XO4	Best Folding Knife Spring Assisted Pocket Knife with Clip. Black Folding Knife for Hunting and Tactical. New Rescue Knife Survival Stainless Steel Blade Open Case Knives for Camping	Love! Love! Love!	the spring assisted feature of this blade. It's very smooth and it opens like ‘butter'. Would recommend this blade to anybody that is looking for a quality you can't find anywhere else online.
225	__label1__	1	N	Health & Personal Care	B003XA0FWW	Natrol Resveratrol Plus 100mg Tablets, 30-Count	Horrible	I was shocked at the awful smell and the fact that I could not feel anything good about this product.  I used the whole bottle and it just seems to be a placebo that really does not work.<br /><br />I am switching back to my old resveratrol
6377	__label1__	5	N	Toys	B00K6EYBI2	Laser Pegs 57-in-1 Dragon Building Set	Lots of imagination = lots of fun	Laser Pegs - No glue needed. They light up great with 3 AA batteries. Lots of different things to build than even on the box. Lots of imagination = lots of fun. Endless!!! Good quality. Parts stay together. Looks great. Great buy and great price. Great for all ages, granddad and kids, too.
5238	__label1__	5	Y	Kitchen	B00QMGDOCC	Fruit Infusion Water Bottle - Green	Very helpful	I love to use this bottle..  it made infused water much better.. it gave the water the taste i always wanted with the lemony taste.. the package came within 3 days and it was very effucient.. i suggest all try this product if you plan to drink infused water..
9496	__label1__	5	Y	Jewelry	B008KGFGIC	Leegoal Classic Vintage Pearl Bracelet With Charms,Pearl	Charms	This is an adorable vintage looking classy bracelet. This is one of my favorites now because of it's style that is so unique. This is exactly what I ordered for. I would recommend it.
1907	__label1__	1	N	Wireless	B00DRJTY44	iPhone SE / 5S / 5 Case, Ringke [FUSION] Crystal Clear PC Back TPU Bumper [Drop Protection/Shock Absorption Technology] for Apple iPhone SE (2016) / 5S (2013) / 5 (2012) - Black	STAY AWAY	Got covered with scratches on the very first day so much that it looks nasty on the second day . The item looks very different than photos. Plastic looks cheap and has a lot of imperfections. It's a waste of time and money.
1575	__label1__	3	N	Lawn and Garden	B000BVKO0E	Intex 12-Foot by 30-Inch Metal Frame Pool Set	it was leaking	This pool looked beautiful till we put water in it! Noticed puddles outside the pool but could not find where it was leaking from. Dried up the water on the outside and tried to watch where the leak was but could not see any at all, tried the dye test as well to no avail.
16755	__label2__	2	N	PC	B00GZFFZKY	RCT6378W2 7 Inch 8GB Android 4.2 Tablet	Very bad not buy	The screen is bad it holds very little memory and you can't even use as cards it's very slow and the camera is not very good it's only usable with 2 or 3 apps
9448	__label1__	5	N	Jewelry	B00C3EMFS6	Men,Women's 2 PCS Stainless Steel Pendant Necklace CZ Black Silver Tone Heart Love Valentine Couple His & Hers Set -with 20 and 23 inch Chain	Stunning!	The pendant's are stunning, and are really nice. They fit comfortably on any size change and look good with any outfit. I recommend it to anyone who want's an amazing gift for a special someone.
8564	__label1__	5	N	Automotive	B0085XV9JA	Zone Tech Car Trash Bin Auto Small Litter Can	Pimped My Ride!	I was a big fan of Pimp My Ride. Unfortunately, my crappy 98 Corolla wasn't chosen to be on the show, so I had to get the next best thing and  got this trash can. It did a good job in keeping my car clean and I happily recommend to those looking to bling up their rides.
